Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1407927,2011-11-27,2011-11-27,,180° South,https://www.imdb.com/title/tt1407927/,movie,7.6,85,2010,"Documentary, Drama, Sport",2660,2010-02-10,Chris Malloy
2,tt0105824,2011-11-22,2012-02-14,Best sailing...,Wind,https://www.imdb.com/title/tt0105824/,movie,6.5,126,1992,"Action, Drama, Sport",2216,1992-09-11,Carroll Ballard
3,tt2165236,2016-12-04,2016-12-04,,En solitaire,https://www.imdb.com/title/tt2165236/,movie,6.4,101,2013,"Adventure, Drama, Sport",1908,2013-08-25,Christophe Offenstein
4,tt0114898,2011-12-25,2011-12-25,,Waterworld,https://www.imdb.com/title/tt0114898/,movie,6.1,135,1995,"Action, Adventure, Sci-Fi, Thriller",159831,1995-07-28,Kevin Reynolds
5,tt0043379,2011-11-24,2011-11-24,,Captain Horatio Hornblower R.N.,https://www.imdb.com/title/tt0043379/,movie,7.4,117,1951,"Action, Adventure, Drama, History, War",5383,1951-04-10,Raoul Walsh
6,tt0028691,2011-11-22,2012-02-14,Some sailing and excellent story,Captains Courageous,https://www.imdb.com/title/tt0028691/,movie,8.0,117,1937,"Adventure, Drama, Family",7494,1937-05-11,Victor Fleming
7,tt0118158,2011-11-22,2011-11-22,,White Squall,https://www.imdb.com/title/tt0118158/,movie,6.6,129,1996,"Adventure, Drama",19423,1996-02-02,Ridley Scott
8,tt0097162,2011-11-22,2011-11-22,,Dead Calm,https://www.imdb.com/title/tt0097162/,movie,6.8,96,1989,"Horror, Thriller",32718,1989-04-07,Phillip Noyce
9,tt0311113,2011-11-22,2012-02-14,Best sea war,Master and Commander: The Far Side of the World,https://www.imdb.com/title/tt0311113/,movie,7.4,138,2003,"Action, Adventure, Drama, History, War",184246,2003-11-14,Peter Weir
10,tt0086993,2011-11-22,2011-11-22,,The Bounty,https://www.imdb.com/title/tt0086993/,movie,7.1,132,1984,"Action, Adventure, Drama, History, Romance",20673,1984-05-04,Roger Donaldson
11,tt0103924,2011-11-22,2012-02-14,Best sailing comedy,Captain Ron,https://www.imdb.com/title/tt0103924/,movie,5.7,90,1992,"Adventure, Comedy",18628,1992-09-18,Thom Eberhardt
12,tt0043265,2011-11-22,2011-11-22,,The African Queen,https://www.imdb.com/title/tt0043265/,movie,7.9,105,1951,"Adventure, Drama, Romance, War",64183,1951-12-26,John Huston
